teams	1
191	191	3	猎户座(Orion)	Shandong University of Finance and Economics	SDUFE	CHN
196	196	3	咕咕咕(GU GU GU)	Shandong University at Weihai		CHN
205	205	3	至诚至博(SUST_1)	Shaanxi University of Science and Technology		CHN
21	021	3	肥宅大哭.jpg(fatty newbie)	Beijing Institute of Technology	BIT	CHN
198	198	3	光明号(SKD62497 Akira)	Shandong University of Science and Technology	SDUST	CHN
125	125	3	acm.ecnu.edu.cn(F0RE1GNERS)	East China Normal University	ECNU	CHN
218	218	3	云之彼端·梦中降生(KUMONOMUKÔ_BIRTHBYSLEEP)	ShanghaiTech University	ShanghaiTech	CHN
72	072	9	萌新(newbie)	Fuzhou University	Fuzhou U	CHN
354	354	3	心中没有B树(NO B-Trees in our Hearts)	Renmin University of China	RUC	CHN
219	219	3	Mr Zhou想吃红烧肉(Autistic automation machine)	University of Shanghai for Science and Technology	USST	CHN
220	220	3	自闭小分队(Mr. Selfclose)	Sichuan University	Sichuan U	CHN
228	228	3	A云(ACloud)	Taiyuan University of Technology		CHN
128	128	3	今天也要加油鸭(GoAheadDuck)	South China University of Technology	South China UT	CHN
232	232	3	小奶狗(puppy)	Renai College of Tianjin University		CHN
5	005	3	c++11(c++11)	Peking University	Peking U	CHN
291	291	3	誒射能特(ACellent)	The Chinese University of Hong Kong	CUHK	HKG
10	010	3	小黄鸡咕咕咕(Ascender)	Beihang University	BUAA	CHN
252	252	3	csfnb(csfnb)	Xi'an Jiaotong University	XJT U	CHN
110	110	3	猪肘子我正在煮(zzzwzzz)	Hohai University		CHN
6	006	3	FaFaTa(FaFaTa)	Peking University	Peking U	CHN
114	114	3	Try a Try,AC is OK(Try a Try,AC is OK)	Henan Polytechnic University	HPU	CHN
116	116	7	对对对(deideidei)	Hunan University	Hunan University	CHN
120	120	3	打CF不如打CF(CF is better than CF)	Hunan Normal University		CHN
134	134	3	我想吃羊肉泡馍biangbiang面肉夹馍凉皮臊子面胡辣汤粉蒸肉饸饹面(Eating Keyboard)	Huazhong University of Science & Technology	HUST	CHN
129	129	3	这是我们第四次来西安了(I have a classmate named Lanling)	South China University of Technology	South China UT	CHN
139	139	3	黑框眼镜(Black-rimmed glasses)	Jilin University	Jilin U	CHN
143	143	3	银色子弹(Silver Bullet)	Jiangxi University of Science and Technology		CHN
146	146	3	放弃四六级来打铁(Caratheodory)	LanZhou University	lzu	CHN
150	150	3	I/O复读机(LSNU_I/O Repeater)	Leshan Normal University	LSNU	CHN
81	081	3	一切都是命运石之门的选择(Grooming)	Guangdong University of Technology	GDUT	CHN
126	126	3	魑魅魍魉魁魈魀鬾魆魋魊魌魐魓鬿(monsters)	East China Normal University	ECNU	CHN
153	153	3	NCHUSoftware_Dream(NCHUSoftware_Dream)	Nanchang Hangkong University	NCHU	CHN
77	077	3	祈求者(Invoker)	Fudan University	Fudan U	CHN
156	156	3	南方科技大学_伦敦(SUSTech_London)	Southern University of Science and Technology	SUST	CHN
163	163	3	赫拉克勒斯(Hercules)	Nanjing University of Aeronautics and Astronautics		CHN
365	365	3	ABC_dog_bit_pig(ABC_dog_bit_pig)	Chung Hua University	CHU	TWN
173	173	3	世界终焉(End World)	Nankai University	Nankai Univ.	CHN
169	169	3	拯救世界+(NJUPT_Goforworld+)	Nanjing University of Posts and Telecommunications		CHN
178	178	3	我们来了(We are)	Ningbo University	NBU	CHN
182	182	3	脱氧核糖核酸(DNA)	Qingdao University		CHN
192	192	3	6.62607004×10^(-34)㎡kg/s(The new definition of kilogram is base on Planck constant)	Shandong University of Finance and Economics	SDUFE	CHN
73	073	9	红高粱(RedSorghum)	Fuzhou University	Fuzhou U	CHN
11	011	3	除了AC(Away With Correct)	Beihang University	BUAA	CHN
194	194	3	唯我心(Only my heart)	Shandong University	SDU	CHN
355	355	3	已售罄(No Single Dogs)	Renmin University of China	RUC	CHN
201	201	3	曲终人不散(Back in Black)	Shandong University of Technology		CHN
206	206	3	三创两迁(SUST_2)	Shaanxi University of Science and Technology		CHN
292	292	3	玩能源(Play Energy)	The Chinese University of Hong Kong	CUHK	HKG
64	064	3	三只老狗(clw)	Southeast University, China	SEU	CHN
209	209	3	地三鲜——土豆洋芋马铃薯(Tomato Or Potato)	Shaanxi Normal University	SNNU	CHN
213	213	3	心动网络-匠心队(X.D.Network-Ingenuity)	Shanghai University	SHU	CHN
214	214	3	穿越长城，走向世界(Crater Lake)	Shanghai Polytechnic University	SHSPU	CHN
221	221	3	病名为菜(Mr. Weaky)	Sichuan University	Sichuan U	CHN
22	022	3	明明是我们先AC的(ming ming is us first ac)	Beijing Institute of Technology	BIT	CHN
223	223	3	四川师范大学一队(sicnu_team1)	Sichuan Normal University		CHN
98	098	3	工程制图(Engineering Drawing)	Harbin Institute of Technology	HIT	CHN
224	224	3	键盘冒宝矿力(daring vanguard said the calculation)	Soochow University, China	Soochow U	CHN
226	226	3	梦里AC(AC in a dream)	Taizhou University		CHN
229	229	3	TJU_天之豪杰(TJU_jth)	Tianjin University	Tianjin U	CHN
158	158	9	我永远喜欢zsc(I love zsc forever)	Nanjing University	NJU	CHN
133	133	3	河底摸鱼(SCAU_Touch_Fish)	South China Agricultural University	SCAU	CHN
187	187	3	邬老师粉丝群(Fans of wls)	Tsinghua University	Tsinghua	CHN
235	235	9	荠蒻(Konjac of Tongji)	Tongji University	TJU	CHN
238	238	3	阿尔法队(WZU Alpha)	Wenzhou University		CHN
245	245	3	代哥赋予我力量(Big brother carry us)	Xidian University	Xidian U	CHN
216	216	3	NEW CODE!!(NEW CODE!!)	Shanghai Jiao Tong University	SJTU	CHN
30	030	3	房东的狗(Doll)	Beijing University of Posts and Telecommunications	BUPT	CHN
347	347	9	自由之翼(Freedom)	University of Chinese Academy of Sciences	UCAS	CHN
47	047	3	UESTC_'or 1=1#(UESTC_'or 1=1#)	University of Electronic Science and Technology of China	UESTC	CHN
35	035	3	喷火龙小队(ASAP)	Chengdu Neusoft University	Chengdu Neusoft U	CHN
283	283	3	一个中心，两个基本点(One center,Two basic points)	SouthWest Minzu University		CHN
3	003	3	香菇鸡(Mushroom Chicken)	Anhui University		CHN
4	004	3	中文名请看英文名(please look at Chinese name)	North China University of Technology		CHN
2	002	3	题被做 就会WA(Hidden Star)	Aba Teachers College	ABTC	CHN
99	099	3	落日余晖(Sunset Glow)	Harbin Institute of Technology	HIT	CHN
78	078	3	灵魂隔断(Sunder)	Fudan University	Fudan U	CHN
346	346	3	行为仿真(behavior simulation)	University of Chinese Academy of Sciences	UCAS	CHN
142	142	3	这就是队名(Here is name)	Jiangxi University of Finance and Economics	JXUFE	CHN
16	016	3	The meat without bun is more delicious(The meat without bun is more delicious)	Beijing University of Chemical Technology		CHN
369	369	3	中山大学_午餐不见了(SYSU_Food* lunch=null;)	Zhongshan (Sun Yat-sen) University	Zhongshan U	CHN
164	164	3	我的盐呢？(ILoveSaber)	Nanjing University of Aeronautics and Astronautics		CHN
26	026	9	法老汇(Faraway)	Beijing Normal University	BNU	CHN
145	145	3	KUT_Team(KUT_Team)	KimChaek University of Technology	KUT	PRK
170	170	7	沉迷打铁不能自拔(NJUPT_PlayForFe)	Nanjing University of Posts and Telecommunications		CHN
174	174	7	八月(August)	Nanyang Institute of Technology	NYIST	CHN
180	180	3	宁夏大学ACM队(Skyspark)	NingXia University	NingXia University	CHN
74	074	3	复评机(Rejudge)	Fuzhou University	Fuzhou U	CHN
183	183	3	本地对就对(Local OK is OK)	Qingdao University		CHN
7	007	3	La Mala Hora(La Mala Hora)	Peking University	Peking U	CHN
193	193	3	一上来就不行的青岛打铁王花式打铁(Ledo Ferrum)	Shandong University	SDU	CHN
207	207	3	我们想做队(emmmmmmmm)	Shaanxi Normal University	SNNU	CHN
210	210	3	我们想的都对(There's no wrong team)	Shanghai University	SHU	CHN
202	202	3	南风未起，念牌成疾(EL PSY CONGROO)	Shandong University of Technology		CHN
159	159	3	llIlIIlIll(llIlIIlIll)	Nanjing University	NJU	CHN
199	199	3	夏延号(SKD70611 Cheyenne)	Shandong University of Science and Technology	SDUST	CHN
222	222	3	野花(Setaria)	Sichuan University	Sichuan U	CHN
225	225	3	昌昌，抱抱我(hug me, nai chang)	Soochow University, China	Soochow U	CHN
65	065	3	火箭少女707的wa掘机(rocket girls 707's wrong answer machine)	Southeast University, China	SEU	CHN
227	227	3	最大牛(maximum cow)	Taizhou University		CHN
12	012	3	梦中做自己(ForTheDream)	Beihang University	BUAA	CHN
230	230	3	TJU_OPENBAYES(TJU_OpenBayes)	Tianjin University	Tianjin U	CHN
233	233	3	皮卡丘的弟弟(Picacho's brother)	Tianjin Polytechnic University	TJPU	CHN
236	236	3	我想到一个绝妙的队名，可惜这里空白太小写不下(SHX)	Tongji University	TJU	CHN
239	239	3	贝塔队(WZU Beta)	Wenzhou University		CHN
241	241	3	233_Errors(233_Errors)	Wuhan University of Science and Technology	WUST	CHN
33	033	3	暮色森林(The Twilight Forest)	Beijing University of Posts and Telecommunications	BUPT	CHN
246	246	3	火辣鸡不会include(include)	Xidian University	Xidian U	CHN
271	271	3	黄沙百战穿金甲(NPU_QwQ)	Northwestern Polytechnical University	NWPU	CHN
23	023	3	摸鱼肥宅(touching fish fat gamer)	Beijing Institute of Technology	BIT	CHN
279	279	3	这道是签到题(no regret voyage)	Southwest University of Science and Technology		CHN
253	253	3	打铁就女装(iron_equals_girl_dress)	Xi'an Jiaotong University	XJT U	CHN
48	048	3	UESTC_SET(UESTC_SET)	University of Electronic Science and Technology of China	UESTC	CHN
309	309	3	Legilimens(Legilimens)	Zhejiang University	Zhejiang U	CHN
256	256	3	阿姆斯特朗·奥斯托洛夫斯基(Armstrong Ostrovsky)	Xi'an University of Science and Technology	XUST	CHN
263	263	3	水煮鸽子(Boiled pigeons)	Xi'an University of Posts and Telecommunications	XUPT	CHN
294	294	3	完美谢幕(XTU_ Perfect Ending)	Xiangtan University		CHN
296	296	3	去ECFinal？(ECFinal let's go ?)	Xinjiang University	Xinjiang University	CHN
297	297	3	2zZ乙(a lot of snakes)	Yantai University	YTU	CHN
288	288	9	髮際線+7(^^rising hairline^^)	University of Hong Kong	U Hong Kong	HKG
298	298	3	笑脸人(East palace)	Chang'an University	CHD	CHN
301	301	3	小pig佩奇(It will be Spring)	Changchun University of Technology	CCUT	CHN
302	302	3	有情绪(We are angry)	Changchun University of Science and Technology	CUST	CHN
303	303	3	不作死就不会死(no submit no wrong)	Changsha University of Science and Technology		CHN
305	305	3	正能量的搬运工(The positive energy Porter)	Changsha University	CU	CHN
188	188	3	中二之力(Power of Two)	Tsinghua University	Tsinghua	CHN
356	356	7	只有聪明的人才能看见我们的名字(only people who are clever enough can see our name?)	Renmin University of China	RUC	CHN
130	130	3	不也挺好的吗(Team382)	South China University of Technology	South China UT	CHN
320	320	3	公理(Axiom)	Zhejiang University of Technology	ZJUT	CHN
217	217	3	天码(Talancode)	Shanghai Jiao Tong University	SJTU	CHN
82	082	3	二律背反(Steins_Gate)	Guangdong University of Technology	GDUT	CHN
333	333	3	只是想要艾特你(Just want to @ you)	Zhengzhou University		CHN
8	008	3	Miracle(Miracle)	Peking University	Peking U	CHN
27	027	3	圆环之理(Yuruyuri)	Beijing Normal University	BNU	CHN
293	293	9	那將是血清(Que Sera Sera)	The Chinese University of Hong Kong	CUHK	HKG
357	357	3	B题是个大水题(P90 Rush B)	Renmin University of China	RUC	CHN
83	083	3	茶大师(Team Aster)	Guangdong University of Technology	GDUT	CHN
43	043	8	青歌行(Qinggex)	Dalian University of Technology	DLUT	CHN
321	321	3	眼大鸟(EyeBigBird)	Zhejiang University of Technology	ZJUT	CHN
75	075	3	复读机(Replay)	Fuzhou University	Fuzhou U	CHN
13	013	3	趣味时光(Nonsense Time)	Beihang University	BUAA	CHN
324	324	3	让我康康(Let Me See See)	Zhejiang SCI-TECH University	ZSTU	CHN
326	326	3	爱吃馍馍(AiChiMomo)	Zhejiang A & F University	ZAFU	CHN
329	329	3	QvQ(QvQ)	Zhejiang Normal University	ZJNU	CHN
240	240	3	我能摸摸你的奖杯吗(CanITouchYourJiangBei?)	Wuhan University	Wuhan U	CHN
334	334	3	香肠腊肉(Happy New Year~)	North University of China		CHN
339	339	3	地大武汉ACM-No.1(CUG-2018Final01)	China University of Geosciences (Wuhan)	CUG	CHN
299	299	3	米瑞特之阻碍(qqwrwwv)	Chang'an University	CHD	CHN
247	247	3	生鱼忧患死鱼安乐(sudo rm -rf /)	Xidian University	Xidian U	CHN
231	231	3	TJU_人间不值得(TJU_The_world_is_not_worth_it)	Tianjin University	Tianjin U	CHN
189	189	7	观光团(sightseeing)	Tsinghua University	Tsinghua	CHN
131	131	3	我在极光单词已经背了98天了(Winter is Coming)	South China University of Technology	South China UT	CHN
254	254	3	tfucju(tfucju)	Xi'an Jiaotong University	XJT U	CHN
